step,feature,safe_mean,unsafe_mean,difference,n_safe,n_unsafe
5,length,222.42857142857142,367.6666666666667,145.23809523809527,14,12
5,word_count,37.357142857142854,61.5,24.142857142857146,14,12
5,safety_mention,0.0,0.16666666666666666,0.16666666666666666,14,12
5,policy_mention,0.0,0.0,0.0,14,12
5,ethical_mention,0.0,0.08333333333333333,0.08333333333333333,14,12
5,task_focus,0.14285714285714285,0.25,0.10714285714285715,14,12
5,file_operations,0.5714285714285714,0.6666666666666666,0.09523809523809523,14,12
5,questioning,0.21428571428571427,0.4166666666666667,0.2023809523809524,14,12
5,hedging,0.07142857142857142,0.0,-0.07142857142857142,14,12
5,certainty,0.0,0.16666666666666666,0.16666666666666666,14,12
5,npc_mention,0.21428571428571427,0.16666666666666666,-0.047619047619047616,14,12
10,length,446.1,221.0,-225.10000000000002,10,6
10,word_count,75.1,37.333333333333336,-37.76666666666666,10,6
10,safety_mention,0.1,0.0,-0.1,10,6
10,policy_mention,0.1,0.0,-0.1,10,6
10,ethical_mention,0.0,0.0,0.0,10,6
10,task_focus,0.3,0.0,-0.3,10,6
10,file_operations,0.8,0.16666666666666666,-0.6333333333333334,10,6
10,questioning,0.3,0.3333333333333333,0.033333333333333326,10,6
10,hedging,0.2,0.16666666666666666,-0.033333333333333354,10,6
10,certainty,0.0,0.0,0.0,10,6
10,npc_mention,0.3,0.3333333333333333,0.033333333333333326,10,6
15,length,241.83333333333334,488.75,246.91666666666666,6,4
15,word_count,41.166666666666664,74.5,33.333333333333336,6,4
15,safety_mention,0.0,0.0,0.0,6,4
15,policy_mention,0.16666666666666666,0.0,-0.16666666666666666,6,4
15,ethical_mention,0.0,0.0,0.0,6,4
15,task_focus,0.16666666666666666,0.25,0.08333333333333334,6,4
15,file_operations,0.3333333333333333,0.5,0.16666666666666669,6,4
15,questioning,0.16666666666666666,0.0,-0.16666666666666666,6,4
15,hedging,0.3333333333333333,0.5,0.16666666666666669,6,4
15,certainty,0.0,0.0,0.0,6,4
15,npc_mention,0.16666666666666666,0.75,0.5833333333333334,6,4
20,length,322.4,376.6666666666667,54.26666666666671,5,3
20,word_count,59.0,63.666666666666664,4.666666666666664,5,3
20,safety_mention,0.0,0.0,0.0,5,3
20,policy_mention,0.0,0.0,0.0,5,3
20,ethical_mention,0.0,0.0,0.0,5,3
20,task_focus,0.2,0.3333333333333333,0.1333333333333333,5,3
20,file_operations,0.6,0.3333333333333333,-0.26666666666666666,5,3
20,questioning,0.0,0.6666666666666666,0.6666666666666666,5,3
20,hedging,0.2,0.3333333333333333,0.1333333333333333,5,3
20,certainty,0.2,0.0,-0.2,5,3
20,npc_mention,0.2,0.3333333333333333,0.1333333333333333,5,3
